,user,location,text
15,mayenedesign,"San Francisco, CA","Seeing all the #GameDevPaidMe posts.

I still think it's funny that I got $56k as a Sr. Designer by a creative agency whose clients were AAA companies (Sony, EA, Square Enix, Nintendo, etc.) &amp; they were mad I'd go on to leave them for a contract at PlayStation that paid me $80k+. https://t.co/FPBcZ44UAd"
16,javieraltman,"Santiago, Chile","#GameDevPaidMe 

1) Less than 3k/y, 1 year, Lead Animator (Chile)
2) Around 11k/y, 4 years, Animator (Chile)
3) Around 16k/y, 6 months to present, Lead Animator and Tech Animator (Chile)

I'd kill for an opportunity to earn the numbers I am reading elsewhere from my peers."
17,npcSara,Ishgard,"Eh, fuck it. I hope this helps other folks in the industry. #GameDevPaidMe 💰 
🙋🏻‍♀️ About me: Persian/cis f/26
&gt; Blizzard Internship - $16.75/hr
&gt; Blizzard Associate PM - $59K
&gt; Blizzard PM - $74K
&gt; Riot PM - $134K
&gt; Riot PM II - $163K"
18,DMZilla,"Los Angeles, CA",What I learned from the #GameDevPaidMe tag today is that a large number of studios underpay. Good lord.
19,MegaMasao,Montreal,"#GameDevPaidMe
Ubi SF (USD)
Localization specialist $14/h 2006
Ubi MTL (CAD)
License coordinator $26k to 50k 2006~ 2009
Lead community developer $55k to 70k 2010~2014
Production manager $70k to 80k 2015~2019
Bonus range of $2k to $5K most years with a couple years 20k~35k"
20,tdcpresents,"Bellevue, WA","*Updated because I suck at remembering things! #GameDevPaidMe:

Associate Designer, Venan: $35K
Designer, Venan: $38K
Designer, Hitpoint: $55K
Senior Designer, Venan: $55K
Writer/ND, ANet: $80-85K
Senior Writer/ND, ANet: $100K"
21,Yama_Yama__Yama,By the beach,"#GameDevPaidMe

Moderator, Capcom @CapcomUSA_ , Around 2012-2016; paid $0.00 plus dealing with a lot of hate/racism from staff.

Seeing other people start their careers as moderators AND getting paid for it is very interesting. There were a lot of shitty mods / leeches though."
22,chlolist,san fernando valley,looking at #GameDevPaidMe tag.. damn y’all have SALARIES?? with BENEFITS?????
23,TedAjax,"Redmond, WA","#GameDevPaidMe Cis, straight, white, male, all USD, mostly SF, now WA

2012 Software Engineer (SE) - $80k
2013 SE - $85k-100k (raise)
2014 SE - $110k
2014 SE - $115k (weird year)
2015 Gameplay Eng- $145k
2016 Sr. SE - $136k
2017 Sr. Gameplay - $130k
2019 SDE2 - $135k + bonus"
24,mrNY2cali,streamerlinks.com/mrny2cali,"Since it's trending &amp; I was technically part of the Game Industry for a few years. 

#GameDevPaidMe
2003 Los Angeles - $13/hr w/ benefits - QA Analytist I - Vivendi Games (under Universal Studios)"
25,tycopes_,"Edmonton, AB","#GameDevPaidMe 

PolyHobby Studios CEO/Developer, 2015-now: $0"
26,FoxSkullAltar,Opinions are my own!,"#GameDevPaidMe $18/hr when I started as an animator. I was promoted to $25/hr to when I was made Art Manager. Never been salaried. No comment on it- I’ll leave that to twitter. Just know, I love working at my company."
27,ArtofFred,"Montréal, Québec","20 something white dude in Montreal and small coastal city.
 
 #GameDevPaidMe 
46k-CDRIN (37.5h/w)
50k-Lynx Attractions (40h/w)
46k-56k-Ludia Games (40h/w)
56k- Framestore (40h/w)

the only reason why i ever the salaries i did was because i talked it over with my friends."
28,gracezhuart,Canada,"#GameDevPaidMe 
Programmer in Montreal, Canadian dollerinos

'18-'19 Unity Programmer @ Behaviour, ~62k
'19-'20 3D Programmer @ Ubisoft ~67k

Still over 10k below what I made straight outta school in a different industry 🙃"
29,wyrmforge,"West Virginia, USA","#GameDevPaidMe

$500 for two character concept designs delivered within a strict week deadline. technically it was 200$ for a full rendered body and a painted bust per character, then $50 for an uncolored turnaround sheet."
30,zanderhulme,"Brisbane, Queensland","#GameDevPaidMe I've never had a salary. There are no ""entry-level"" audio jobs in Australia, pretty much. Even more senior positions are rare as gold dust. I'm not sure how to summarise my hodge-podge income mix of profit share, per minute of music, per SFX, per hour rates, etc."
31,crepaletta,@manttecade,"#GameDevPaidMe 
Alright I'm joining!

I used to be afraid of sharing too much because I'm looking for work but it's been one year unemployed and I'm tired! And I want change!

2018: Jitzu VR, 900 USD per month

I quitted because I was the only girl and the environment was toxic!"
32,LikeableArtist,Canada,"#GameDevPaidMe all these numbers just look so low! seeing MASSIVE multi Billion dollar companies making billions of dollars every year complaining about ""we don't make any Money"" is a straight up lie! Pay your employees properly! Look in at you Activision Blizzard + others!"
33,NalaWu,poc • queer • NBi • THEY/THEM,"Looking at the people in #GameDevPaidMe who are underpaid scares me even more bc not only will I be graduating in a year to enter this workforce, I ALSO am a queer trans POC. 

Holy shit."
34,qkjosh,"Winnipeg, Manitoba","Browsing the #GameDevPaidMe  tag has me like 😣 I'm more of a hobbyist/self-funded dev without any released titles so I don't really count lol, but it's still rough when I consider I'll be doing good to just break even on Moonflight"
35,opponent019,"Vancouver, BC","#GameDevPaidMe
I'm a Mexican 3D generalist freelancer for 3D printing, games, and sometimes renders (CAD$)
2017 - Started at $18/h quickly got that up to $28 thanks to a great business partner. Spent 3 months in Amsterdam and got it up to $35
2019 - $35 ~ $40
2020 - $35 ~ $45"
36,IttssJusttMe,,#GameDevPaidMe Who wants to give me an underpaid job?
37,xofear,"Los Angeles, CA",Not going name any names but. Lead level designer $18 an hour #GameDevPaidMe
38,f0da,"Oakland , CA","#GameDevPaidMe these salaries are nuts -- seeing multi-billion $ companies paying !!! HALF !!! the market rate in the bay area + others for engineering is disgusting. work is work, just because it's ""games"" doesn't mean you deserve less comp for your talent 😒"
39,Meloncov,,"#GameDevPaidMe 

Temporary Shader Artist, Volition, 58k, very few benefits
Technical Environment Artist, Volition, 58k but with vastly better benefits.

Note that this is central Illinois, where cost of living is pretty low."
40,VelvaraArt,Venezuela,"@MorganeMalville #GameDevPaidMe
Latin queer male Environment artist, Caracas VE
2016-2018: $7.2k no benefits
2018-2020: (freelancing) Around $4.5-5k

Am I doing something wrong? :'(
https://t.co/CgVwowKKg1"
41,ZeronisART,LA,"#GameDevPaidMe
I’ll join for those curious!
I got paid $150 for champion concepts for Riot Games back in 2010. Ahri was one of the champions I designed that got me around that much to help pay off my college tuition. 
Now days outsourcer artists get paid thousands of dollars."
42,kangareuben12,"Washington, DC","#GameDevPaidMe
(white, cis, male, USD except where noted)

2015: 150k HUF (~$600)/mo., programming intern, indie studio, Hungary
'16: Unpaid intern, nonprofit org., DC area
'17-'18: 68k, junior dev, edu. indie, DC area
'18-present: 67-71k, mid-level dev, nonprofit org., DC area"
43,IllusciraptorR,"Montréal, Québec","#GameDevPaidMe 
POC woman
4 yrs B2B as a UI
5 yrs graphic design

Now UI integrator/artist/designer 
4 yrs
UI artist, Lead 45k Hibernum
UI artist, 55k Behaviour
Lead Art, 65k LH
UI artist, Ubi 68k
Negociated every time I entered a company and switched around to get what I have."
44,mikejwitz,Montréal,"Montréal-based cis white male, here’s what #AnimationPaidMe &amp; #GameDevPaidMe (gross, chrono order):
Anim - CAD$600/wk
Board Revs - CAD$900/wk
Anim Corr - CAD$800/wk
Storyboards/Animatic Editor - CAD$1,000/wk
Cleanup Anim - CAD$167/sec, 1.2s weekly quota
Anim - CAD$1,100/wk"
45,moog_art,"Seattle, WA","#gamedevpaidme

$14/ hr military simulation in game engines
$20/ hr contract concept work various mobile games 
$50-55k/ yr Artist I ArenaNet 
$80k/yr Artist II ArenaNet 
Get paid fairly, kids https://t.co/vZO0V7jQ4s"
46,sboxle,Australia,"#GameDevPaidMe 
If you're getting paid less for a specialised role than you would working at a supermarket or restaurant then you're underpaid!"
47,sboxle,Australia,"#GameDevPaidMe 
In running Twice Different, I've been consistently surprised how underpaid some people are.

I've told interviewees a role is $70k base salary (also my current salary) and multiple times people have said ""Oh I can work cheaper."" 

Na. Just earn it. https://t.co/6aum628TSD"
48,sboxle,Australia,"My #GameDevPaidMe is all over the place.

2007: Concept artist, AU$32.5k/yr (~US$22k).

Since then:
Made $40/hr as a freelance lead(!) painter (~US$28). 
Up to $90/hr (~US$60) as a generalist/tech artist.
Hundreds of 'investment' hours for share only + hundreds in Steam Workshop."
49,AdmiralMemo,"Baltimore, Maryland, USA","So, here's some transparency since this is going around. #GameDevPaidMe ... sort of, since I was in an out-sourced third-party company, but, here goes.

Baltimore, MD - Tier 1 Tech Support - $11/hr with minimal benefits.
Promoted to Tier 2 $13.50/hr with same previous benefits."
50,TimothyGiang,"Oakland, CA","God I don’t remember exactly... but I do have a negotiation email I sent to a recruiter when I started. Below are starting salaries/position

Junior game artist for mobile in 2012: 47k
Game artist 2013~2015: ~60k
Lead game artist 2015: ~80k
Art manager 2016: ~90k
 #GameDevPaidMe https://t.co/8z9Z1UAXha"
51,Emilee3D,,"#GameDevPaidMe:
Forum Moderator; Sleepy Giant: $8.50/hr
Contract Artist Scientific Games: $22/hr
Freelance 3D modeler: $2000(?) in royalties
QA tester, Jellyvision: $15/hr
QA tester, NetherRealm: $12/he
Art ""intern"", Scientific Games: $16/hr
QA, Synapse Games: $19/hr"
52,cephalxn,,#GameDevPaidMe #ElectronicArts Product Support Lead: $59k AUD /year before tax.
53,Kevincbr,"Seattle, WA","#GameDevPaidMe 
Customer Service at Funcom 35k with benefits
QA at VMC for Xbox: $12.00 an hour.
QA at Parker for Nintendo: $15.00 an hour
(Required 3 years experience)"
54,Pixelfish,Northern Hemisphere! PNW!,"Would be interested to learn what maternity leave was in #GameDevPaidMe 

I can only speak for my latest position but I had 4 weeks fully paid and 8 more weeks made up of vacation time and part time disability at 60%."
55,SmashGizmo,"San Francisco, CA","#GameDevPaidMe Cis, white, straight, male all USD in LA/SF areas

2012 - $17/hour - Associate QA
2014 -~$24/hour - Senior QA
2014 - Associate Game Designer, pay didn't change
2016 -~$80k - Mid Game Designer
2017 -~$115k - Senior Game Designer
2020 -~$150k - Game Design Manager"
56,joonturbo,Iceland,"#GameDevPaidMe 
2015 - 44k$ - Glitchnap
2016 - 30k$ - Glitchnap
2017 - 37k$ - Glitchnap + teaching
2018 - 26k$ - Don't Trip + teaching
2019 - 42k$ - NUTS + teaching

Here's an overview of paid project up until it became NUTS full-tme.

happy to elaborate, just ask or DM https://t.co/XPrdu5cp8L"
57,byMayne,"Montréal, Québec","#GameDevPaidMe  Values are in CAN at date of contract signing.

- Ottawa - 
2014-2016: Magmic, Developer 40k
2016: Hot Glue, Lead Developer 44k 
- Montreal- 
2016: Budge, Unity Developer 55k 
2017: Playtika, Unity Developer 75k
2018: EA, Tools Developer 88k."
58,thomaskrul,"Ottawa, Ontario","@KatieDeSousa How many hours per week did it take to earn your income at those times? One of the issues that #GameDevPaidMe needs to illustrate is work-life balance. All-nighters, push-to-Gold, that kind of stuff. It's awesome that your current employer is supporting your health break, btw!"
59,GhostHeart_,a deep pit full of ghosts,"Someone actually said QA should be happy with low pay, and that I was expecting 100k.

Lol. No.

I expect QA to be paid as though they're critical to game development.

Because they are.

#GameDevPaidMe"
60,NoahAlzayer,"Los Angeles, CA","One last *opinion* to add to the whole #GameDevPaidMe convo at least for tech art: We all pick priorities. No one is wrong.

Want the most money? Go to Tech (usually needs high-end xp though)

High pay but still ""make something?"" Mobile/F2P

Decent pay + make something big? AAA"
61,nicetrysean,"Melbourne, Australia","#GameDevPaidMe 

Full-time on a project;

Freelance: ~$15,000 USD
——
Studio: $41,000 - $52,000 USD

Figures are per year.

I have 7 years of programming and design experience with 6 commercial products released.

$20,000 USD of student debt remains."
62,Keranouille,"Lyon, France","#GameDevPaidMe Read this thread. Transparency amongst workers about their salary is important. We're taught that it's ""private"" and ""counter-productive"" but it's your best tool to know your worth and have an healthy workplace.
Salary silence is just used to reenforce inequality. https://t.co/jPw6grLwFy"
63,Pixelfish,Northern Hemisphere! PNW!,"#GameDevPaidMe
White female, 43yo, currently in Seattle

UI Artist, Seattle 50-52k (appx, can’t find exact num right now.)
UI-UX, San Francisco 60-64k
Brief break from games to do Financial UX at abt 65k
UX -Sr UX (promoted just this year) 72-85k 

&gt;&gt;"
64,kendeep_fgc,Deutschland,"Looking at #GameDevPaidMe made me go ""yeah, sounds about right""

Not gonna disclose my own numbers (no idea about german law concerning sharing salary info) but just look through the hashtag and you get the idea."
65,WillWArmstrong,,"#GameDevPaidMe DevPaidMe
2005-2007 - Junior Programmer, ATVI - ~$54k
2007-2008 - Lucas Arts - Programmer ~$70k
2008-2014 - 2k Marin - Senior Programmer ~$85-100k
2014-2016 - Firewatch - Lead Programmer ~70k - but with Rev Share ~120k
2017-now - Unity - Senior / Lead - ~$170k"
66,aasterisms,26//they/them,"#GameDevPaidMe (in Mexico, so keep that in mind) 
HyperBeard Games, 2019, game artist: 1,250 USD https://t.co/U8JKi9gfzi"
67,LadieAuPair,Night Springs,#GameDevPaidMe just reinforces that QA is paid trash for incredibly important and frequently difficult work
68,its_dooper,,"Oh #GameDevPaidMe 
I'm paid in @art_blaster's laughs."
69,wishchu,Southern California ,"#GameDevPaidMe 
$12/hr QA tester (usually a part time position)
$15/hr temp FT editor
$15/hr temp FT QA lead 

I am in my early-mid 20s, cis, asian woman."
70,ConalPierse,Edmonton,"#GameDevPaidMe
White cis-male
BioWare
2013 - $45k Content Strategist (~$15k bonuses and stock)
2015 - $62k Community Manager (~$40k bonuses and stock)
By 2017 my salary was $75k, but I was making over $100k since 2015 largely due to unvested stock rewards."
71,eleanorjmorel,,"#GameDevPaidMe

Learning PixelArt/Coding/GameDesign while developing StrawberryPunch:

$5/month on patreon
$14k/year on Social Solidarity

Hoping to one day become financially independent from Social Solidarity, join my discord and come check me out! https://t.co/3Ca09OFnbA
🍓👊"
72,_neku,"Toronto, Ontario","#GameDevPaidMe 

Just graduated last year, I'm an animator by title but junior animator by skill lol. I'm in 🇨🇦

3mo $17hr, part time contract
3mo $20hr, independent contractor
3mo $50k/yr, full time contract
Current $53k/yr full time w benefits!!"
73,5deouros,Ela/Dela,"Third wage: around 90 USD and nothing more.

This is what #GameDevPaidMe 

Just a few more notes to end this thread:"
74,Leah_Augustine,ORL ➡ ATL ➡ LA,"#GameDevPaidMe

I don’t know why talking about this stuff scares me, but I think transparency is important. At my past job talking with my coworkers about salary made me realize how much less I was making then my peers at the time."
75,TriMakesGames,"Los Angeles, CA","#GameDevPaidMe 

Indie Startup Design Intern, San Diego: $1500 stipend for 3 months
Tech Startup Design Intern, San Francisco: $15/hr for 4 months
Mobile Associate Designer, San Francisco: 43k a year
Mobile Associate Designer, Los Angeles: 64k a year"
76,jyymao,Toronto/Tkaronto,"I was thinking of posting a #GameDevPaidMe but there's no scientific way for me to adjust my salary to all the unpaid overtime/crunch, especially That Time I Worked From 4am - Midnight Every Day For Three Straight Weeks"
77,3xBlast,UK ,"Seeing all the #GameDevPaidMe, I thought I'd jump in with how much I charged for my #GameAudio freelance prices:
Music: €300 per minute of music
Sfx/implementation: €50 per hour

Only ever got minor pushback on prices. Mostly accepted outright."
78,zorcher47,,"Wait, so you're telling me a job that actually requires some thought in computer science also doesn't pay enough like most jobs? 😓 #GameDevPaidMe"
79,MorganeMalville,"Montréal, Québec","#GameDevPaidMe
White bi female 3D Chara Montreal CA
2016-2017 30K$CA asso
2017-2020 38-55KCA + perks 14% raise after 3 month when I lvl up + 25% more a year after, + 3K bonus 
2020 I can't tell but W.A.Y. M.O.R.E then previous"
80,RepsUp100,,"This #GameDevPaidMe hashtag just made me realize how underpaid game developers are...

#gamedevs #gamedeveloper"
81,mynameisandy,"Toronto, Canada","Talk about your salary with your coworkers. The shame that you're 'supposed' to feel about it is a tool to keep you from being paid what you're worth. My stats put me into the spot you think they would - 1 Kinsey, cishet, abled, white, bro/business-passing male #GameDevPaidMe:"
82,animboy90,"Melbourne, Victoria","#GameDevPaidMe
I like this, be open with your earnings.
Torus 2013 $50k
Gree 2015 $50k
Freelance 2017 $60k
Method 2019 $50k
IP2 2019/2020 $71k (not including freelance and patreon).

Ive worked harder this year than any other, and I hope it shows."
83,bobbylox,"Chicago, IL","#GameDevPaidMe 
Backend programmer $55k/year + bennies
Junior designer $60k
Went indie.  -$40k.  Yes negative.
Gambling games (6mo) $80k
Went back to normal tech. $90k
Back to games.  Lead designer. $90k
Indie again.  $0
Game designer. $100k

^ Took about 10 years"
84,michelmcbride,Montréal / Tiohtià:ke,"#GameDevPaidMe Most I ever got in QA was $15/h circa 2011-2012. Contract Unity Dev job started low but by the end in 2017ish (I’m bad with dates okay) was something like $55-60/hr after currency exchange. Now as indie I pay myself crap, and inconsistently"
85,Yarshaa,Oxford,"At my previous employer and first dev job - #GameDevPaidMe less than my white colleagues of similar or less experience, and lied about it. Not much less than industry standards, but I was hurt and bitter.

I'm doing better now, I should say figures but still painful to chat about"
86,zackybrownie,Korriban,#GameDevPaidMe Wow. eye opening thread. Game companies... please take care of your people.
87,misterpedantic,,"#GameDevPaidMe -- never paid even fractionally what most of you make, never expected to, never will. Be glad."
88,Stu_FX,Cornwall/London,Seeing all these #GameDevPaidMe posts from the US https://t.co/gK3SDpRByK
89,mclkai,Gdzieś tam w PL,Now I understand why steam is flooded with asset flippers. #GameDevPaidMe
90,5deouros,Ela/Dela,"I found the tag #GameDevPaidMe and I agree a lot that people should complain about how much big companies pay their employees on great videogame companies. I'd like to talk a little about my work experience on brazilian industry and how undervalued gamedevs are here, too."
91,artofjimmiek,Austin,"#GameDevPaidMe 
2013 fresh out of school I worked for 7 months for free as an art lead on a mobile app that didn't pan out.  Quit #gamedev and did other stuff for 4 years.  $36k at a VR company in 2018.  50k at Rooster Teeth last year. #characterartist"
92,fahim_soliman,,"WHO KILLED ARTHUR MORGAN 🤔( NOT STRAUSS ) click the video to find out 😉 #RedDeadRedemption2 #games #GameDevPaidMe #gamers #gamer

https://t.co/S7NuJME60Q"
93,zakster90,"Los Angeles, CA","#PureImaginationStudios in Los Angeles
Sound Designer (90days) $800 week (pre-tax)
Sound Designer (employee) $60k-yr (pre-tax)
I was the studios only sound engineer, doing the work of a team on every project that came through those doors jun2018-jun2019 🤷🏻‍♂️#GameDevPaidMe"
94,databilim,"İstanbul, Türkiye","People ask me why I left the arcade industry and I just 
👉 #GameDevPaidMe 👈 https://t.co/g5Z7ou3fJ6  https://t.co/o4dICa4mPe"
95,FilmGamerOne,"Ontario, Canada","#GameDevPaidMe Summary
$12-14/hr. no benefits intern QA company that is so successful it could afford more.
$25-45k contracting work
$45-65k plus bonuses sub lead
$65-80k lead
85-100k department head at place that might be less well known but pays fairly
Open to switching gigs."
96,DiscordDystopia,Los Angeles,"#GameDevPaidMe - 34, female.

'07 THQ, QA - 10.50/hr

'11 Insomniac, QA - around 12-13/hr

'14-'18 WhiteMoon Dreams, producer, left at 80k w/full benefits for family.

Now, indie space, producer - about 65% of what I made at my last gig. Work twice as hard but much happier 💁"
97,MorganeMalville,"Montréal, Québec","#GameDevPaidMe 
1-The amount of money DOESN'T represent you, I know unskilled ppl making a ton and amazing ppl underpayed. Don't juge someone on that but portfolio and personality.
2-Ppl who just comment plz share at least your previous job
3-Be aware that HR also have twitter"
98,rhebok8px,north of here,#GameDevPaidMe I never earned any money for any gamedev stuff I made but I did make €44.62 total from pixel art commissions in the last 3 months
99,Ronin_GameDev,,"#GameDevPaidMe It's funny how developers and companies don't see that the more money you spend, the more risk (good or bad) you have when you release a product. I guess companies are afraid to go defunct if they are hoarding all of that equity."
100,TheDiakou,"Oslo, Norway","This #GameDevPaidMe tag is terrifying lol.

Game devs are criminally underpaid and abused for their passion. Companies know how passionate and dedicated these developers are so they abuse it and prey on it.

No wonder they all become software engineers for Amazon"
101,Xinasha,NYC,"Love that salary transparency hashtags have been trending for various industries (#GameDevPaidMe etc.) 

Let's keep normalizing sharing salaries, especially between folks at comparable positions. It is immensely helpful for women, POC, and everyone who wants to be paid fairly."
102,NickCarbonara23,"New York, NY","#GameDevPaidMe
I'm a white, cis, straight man. I graduated from NYU with a degree in Game Design and a minor in Creative Writing about a year ago. (Short Thread)"
103,AlamusPrime,"Geneva, IL","Ok. Female, hispanic. Now 35. 
In Illinois 08-2011
UI artist- 40k w/benefits. 3 day paid maternity leave. 
In San Francisco 2011-2015
UI artist- $65k w/benefits
art lead- $85k w/benefits 
#GameDevPaidMe"
104,uhfelix,"Los Angeles, CA","the ad agency mobile game took like 9 months. they kept forgetting to send me checks for my invoices lol. typical

anyway these are all socal prices, and i'm of east asian descent/male/cis so mileage will vary. but go out there and get informed - know your worth #GameDevPaidMe"
105,DamienMammoliti,"Edmonton, AB","#GameDevPaidMe 

Playfirst (‘09) - Contract Concept Artist -$4,000/mo contract

PixelStorm (‘09-‘14) - Lead Concept Artist - $42k/yr CAD (yea really)

Went Freelance - Make double anything any studio paid me, so I’ve had little reasons to look into going back into the studio."
106,natetastic1187,,Interested in a career in the gaming industry? Check out the trending hashtag #GameDevPaidMe for some great insight! Don’t let some of the posts scare you away. Just know what youre getting yourself into! #GamingAdvisor #smallstreamer https://t.co/Mk9D9oGvG8
107,uhfelix,"Los Angeles, CA","#GameDevPaidMe ayyyy

'12-'13 game designer, mid-size AA studio: $42k/yr
'13 unity dev, small themed ent studio: $30/hr
'13-15 software engineer, small porting studio: $80k/yr
'15 unity dev, ad agency mobile game: $48k total
'15 contract game designer, large AAA studio, $35/hr"
108,flipskip1,Seattle,"Wanted to share my pay history for #GameDevPaidMe 
I'm in the Seattle area, white, male.
Griptonite Games '05-09, 3D Animator: $31k-$38k
Cricket Moon Media '10, Flash Animator: $12k
Her Interactive '10-13, 3D Animator: $48k-$49k
Absurd Int. (indie studio) '14, Art Director: $37k"
109,metanymie,10 directions ; 3 existences,"#gamedevpaidme

1st gig at 42k, ui/ux designer, touching a little on economy design

2nd gig 55k, economy designer

(as of now i'm out of games, 65k as a ui/ux designer with 1 year seniority on the job market total, not bad)

get this bread people"
110,lotovik,🇧🇷,"#GameDevPaidMe 
From 2013 to 2020 ~ USD $0.80/hour to USD$30/hour"
111,ianipoos,,When I realise the food serving job I took for 3 months to build my savings paid more than my career. #GameDevPaidMe https://t.co/xLh5Jfxg8q
112,Bennadler,"San Francisco, CA","#GameDevPaidMe I'm white, male, all jobs in Bay Area, CA.

$17/hr Art Intern at SHG
$25/hr Jr Env Artist at CD
$65k, Env Artist at 2k
$80k, Sr Env Artist at 2k
$95k, Env Artist at EA
$67/hr, Sr Artist at ILM
$72/hr, Project Lead at ILM"
113,gr8h88,,"29 yo, white straight male designer. 4 years experience at game mechanic studios. 30k/y no benefits. Only 5k raise from my initial pay. #GameDevPaidMe"
114,lazerwalker,"Toronto, Ontario","I'm seeing broadly two different classes of #GameDevPaidMe responses:

1. POC and non-Americans in shock at how high wages are

2. Non-game tech workers outraged at how low wages are, especially when the work is comparable to tech (e.g. engineering)

Capitalism's messed up."
115,_Zero_Smith_,,"#GameDevPaidMe Its been widely known for a while now game developers get paid awfully, its just one of those things. For most, the career is most likely a bad choice. Bad wages and its a constantly competitive career. We can be replaced at any minute, we are a dime a dozen."
116,MintyMerry,"Troy, NY","#GameDevPaidMe
Risking it. Indonesian cishet woman on green card.
Art lead (among many other things...) with 11 years exp in Troy, NY: $55k 😅
Livable salary, but definitely underpaid. Feeling helpless and  sad about how low artists get paid, in general."
117,waweii,,"#AnimationPaidMe
2017 intern: $0/hr (compensation for commute only)
2018 freelance contract: $25/hr
2019 freelance prop designer: $40/hr, changed to $48/hr half way thru 
#GameDevPaidMe
2018-2019 contract prop designer: $40/hr
2020 contract prop designer: $45/hr"
118,_zellyn,The Dead Sea,"I'm Canadian and living in Vancouver, so all values are in CAD

2012-2014, contract QA at EA: $11 an hour (no benefits)
2014, converted to fulltime QA: 35k a year (benefits, wee)
2014-present: 51k (after annual performance raises)
#GameDevPaidMe"
119,jamielyn0127,,Okay story time I just happened to see the  #GameDevPaidMe tag today and I think it’s ridiculous how underpaid some people are. This happens in every field and is ridiculous. I have a biology degree and recently I worked for a laboratory. 1
120,Aero_Diver,Pineapple Fox's Discord xD,"I love that we are talking about pay gaps, issues, etc by exposing and being open about how much we got paid. Keep the #AnimationPaidMe #GameDevPaidMe #PublishingPaidMe etc going!!!"
121,jbuaudio,"San Diego, CA","jumping onto #gamedevpaidme ! I do freelance sound &amp; music, my current rates:
$60 an hr
$1000 per min
Realistically, I don't always make that rate because i'm flexible for small-budget indies. I consider projects as low as $35 per hr if it's good fit and is offset by other gigs"
122,Jii_en,"Tokyo-to, Japan",#GameDevPaidMe gave me some wired feelings again since japan is actually known for ... not... being... on that line 😅😂😅😩
123,adammcdonald,"BC, Canada","#gamedevpaidme - borderline poverty wages in QA, slightly higher as a junior designer, comfortably as an experienced designer. But never close to 6 figures USD, so seeing like “game designer - 150k” is nuts to me. Very educational to see these kinds of numbers."
124,TheRevSpyro,Hell,I'm scratching my head at #GameDevPaidMe - so #GrandmasBoy was true???
