,user,location,text
75,colorblindmess,Mount doom! Maybe Seattle.,"#GameDevPaidMe 6/6

Last thing is, even on entry level roles we're all responsible to shape the culture and practices on work environments, so YES, we can take actions and speak when seeing unfair or wrong things affecting others.

If you have questions I'm happy to help! ✌️🏾"
76,JC_Bailey1112,USA,"#GameDevPaidMe I released my first solo-developed indie game a few months ago on Itch and have made about $70 from it. Planning on releasing my next game on Steam later this year, so we'll see how that goes... 😉

#gamedev #indiedev #indiegames #gaming"
77,colorblindmess,Mount doom! Maybe Seattle.,"#GameDevPaidMe 5/6

I believe art-tests aren't necessary in most cases if interviewers are experts in their fields. 

I was taken advantage professionally many times in the past due to race, not caring about reading contracts and trusting the wrong people. Get informed!

..."
78,colorblindmess,Mount doom! Maybe Seattle.,"#GameDevPaidMe 4/6

When Jr. I took art-tests to get jobs, It's a way to prove you can do the work displayed on your portfolio.

People lie and use other people's work-samples to apply for jobs, so art-tests still exists if you're a newcomer and most companies won't pay for it..."
79,realGuattari,they,"lol watching #GameDevPaidMe trending and I'm thinking about all the fucking indie game dev scams that I saw in 2017 

be careful out there"
80,colorblindmess,Mount doom! Maybe Seattle.,"#GameDevPaidMe 3/6

As a person of color I saw myself, other Poc, Black and specially Women getting much lower pay than Caucasian co-workers. I question it and got fired.

I used that break to be angry, sad but mostly invest my efforts on new skills, so my work would do the talk."
81,colorblindmess,Mount doom! Maybe Seattle.,"#GameDevPaidMe 2/6

Keep in mind how vastly different are pay rates / taxes / currencies world-wide

Also I personally do not focus on money, I want fair pay but I took large pay cuts in-between jobs including my current, so I can focus on career goals and mental health..."
82,BrandenMid,"Cincinnati, OH","All with full benefits.

Keep an eye out of adjacent jobs where you can use skills in different fields they need you too and will pay more. #GameDevPaidMe 

Can always do indie on the side"
83,colorblindmess,Mount doom! Maybe Seattle.,"#GameDevPaidMe 1/6

USD (Yr)

97-07: Advertisement in Brazil : 0 to 25K 

Game career start:
07: Indie studio - Owner : -40K
13: Epic Games - Sr Ui Artist : 118K
16: Ready at Dawn - Lead Ui Artist : 114K
17: Microsoft - Ui art Lead : 165K
19: Current - Head of Ui : Under NDA"
84,TheBioshockHub,Rapture,"#GameDevPaidMe (If any Game Devs are looking for voice actors, I'm of service)."
85,_Mutiny27_,,"If anyone has any extra money please give to this woman, I saw her story on Snapchat and it truly broke my heart.
https://t.co/jKMFWkZtrF

#GameDevPaidMe #transwomenaremen #STFUHillary"
86,Eippolito,"Los Angeles, CA","#gamedevpaidme 

2010 - Zynga (Dallas) - SuperMod/Community $10.75/hr
2011 - 6Waves (SF) - Community Coordinator to CM Lead $39-41k
2013 - PennyPop (SF) - Community Manager/LiveOps Producer $42-43k
2016 - Scopely (LA) - Community Manager $60-70k"
87,LordKazuya1,"Sargatanas, Aether","I hope #GameDevPaidMe continues on reminding people how fucking terrible the video game industry is.

Bobby Kotick is one of the richest men on the planet and he lays off workers while giving himself millions of dollars for that. 

People are not people, they are bodies in the GI"
88,Modular_Squared,Behind you,"@daichifob #gamedevpaidme lol. 45 quid so far, or to put it another way, gamedev bought the kids 3 takeaways 🤣"
89,ryanaeckles,,"Looking through the #GameDevPaidMe is interesting. Glassdoor has always been an good anonymous resource for real salary break-downs by job title.

(not sponsored, I just like data and transparency)
https://t.co/riNA3oR5R8"
90,SomeBraveDude,"Fremont, CA",with all the #GameDevPaidMe posts I wonder if just treating your people right (paying them competitively and other things) would be a competitive advantage that could skyrocket a studio by having/poaching the best talent
91,DevinWatson,,"I do game dev for funsies but figured I'd throw some regular software dev numbers out there.
White/Male/Atlanta

$47k Engineer
$85k Engineer
$135k Senior Engineer
$145k Senior Engineer
$178k Staff Engineer

#GameDevPaidMe
#SoftwareDevPaidMe"
92,TizaTryhards,"Los Angeles, CA","#GameDevPaidMe cis white male at Riot LAX w/ benefits + 4% 401k match
2012, Esports Coordinator, $16/hr
13, $17.60
14, ~$19
15, ~$21
16, $24/hr + ~$80k Tencent buyout
17, Senior Esports Coordinator, $58k salary
18, 61k + 1k bonus
19, Assoc Esports Manager, 65k + 2.7k
20, 78k + 8k"
93,steve_coan,California,"#GameDevPaidMe (US, cis male, B.S. Edu)
- 60k/yr (associate tech artist, Blizz)
- 85k/yr (tech artist, Blizz)
- 99k/yr, 110k raise (sr. tech artist, Blizz)
+10% baseline bonus. Paid hourly (even as a senior), these are equivalent numbers assuming 40 hrs/week. 5 yrs worked."
94,mechaghost,United States,"#GameDevPaidMe - Filipino-American in Seattle

'07 - Contract SDET for Xbox XUI SDK - $35/hr 
'08 - Senior SDET BigFish Games - $75k/yr
'10 - Contract SDET for XNA  - $50/hr
'08-14 - Single Indie Dev - $150k total
'14 - Dev for 4Gency - $80k/yr"
95,myomy_tv,"Austin, TX","#GameDevPaidMe:
'13-14: Support Agent (contract) $11.50/hr
14: Support Agent $12/hr
'15-17: Content Writer $14-18/hr
'18-now: Senior Writer $21.50/hr

I've worked at Kabam, a mobile game company for that entire time. I'm an openly gay and Latinx Character artist with a degree."
96,DerrinTuggle,"Florida, USA","#GameDevPaidMe Hosting so far, I've only barely NOT lost money.  I'm going to college for it too soon so my resolve is shaking reading all this."
97,Guntha_en,France,"#GameDevPaidMe

(French ""brut"" yearly wage, only the best for each company)

Koalabs: 28,8k€
GameCo: 43,2k€
BlackSheep Studio: 38k€"
98,dwoozle,DMV,Awesome that #GameDevPaidMe and #PublishingPaidMe are getting people to share their salaries. It helped me gain more insight and transparency of the industry.
99,moschamberlain,United States,"#GameDevPaidMe what a shame, I will have to finish my game I started years ago and will revisit this hashtag what a disgrace."
100,okbuddygus,"Michigan, USA","#GameDevPaidMe
Concept Artist, Entrada Interactive- 4% commission per game sale roughly $ 0.84/game
2014-Now"
101,moschamberlain,United States,#GameDevPaidMe pay attention to the amount of asians owing careers to white folks. They aren't comfortable if your're black and can produce.
102,JamesBondBLHK,,"Looking at this trend, it is absolutely mind-blowing how unappreciated and underpaid most employees are. Everyone deserves a great amount of pay instead of be treated terribly. Games are our passion. Makes me question if I should've signed up for game development

 #GameDevPaidMe"
103,kirbyfan45,Bikini Bottom Rehydrated,"Seeing #GameDevPaidMe's Tweets continues the idea that more people should go Indie, depending on how bad i can get. With Indie, you don't have to worry about all the nonsense"
104,nemo10,,...who has been working with those elements for months or years can make better decisions and be a more efficient employee simply due to a buildup of institutional knowledge. From CM to CS to QA all the way up to Creative Director or Studio GM... 6/9 #GameDevPaidMe
105,nemo10,,"...It doesn't matter if the people who replace them are just as smart, talented, and/or qualified! This applies at all levels. If your studio is making a sequel, or a genre-followup, or uses a consistent set of tools, every member of the team... 5/9 #GameDevPaidMe"
106,nemo10,,"...why a studio makes a bunch of brilliant games and then somehow loses its spark, it's (often) because of the loss of institutional knowledge. Designers who understood WHY decisions were made, programmers who understand systems really well, etc... 4/9 #GameDevPaidMe"
107,nemo10,,...and not worry about burn-out among employees who have climbed the ranks and are now 'too expensive' to support. That practice will actively make games WORSE. Why? Two words: Institutional knowledge. If you've ever wondered... 3/9 #GameDevPaidMe
108,nemo10,,"#GameDevPaidMe Why low salaries in the game industry are so damaging: A THREAD. It's not JUST that underpaying employees makes their lives worse - that's an obvious effect. It's because no matter how passionate someone is, how desperately they want to be in the industry... 1/9"
109,Felijcm,Mi cuarto.,"#GameDevPaidMe

It's been two months since they haven't paid me and expect me to work in 2 games, one is in beta and there's no testing (not even internal) so I'm stuck in limbo... https://t.co/QGTCb1eRl7"
110,ResetEraNT,,#GameDevPaidME - People on twitter sharing how much they got paid for working in the Games Industry https://t.co/QB967EnD6j
111,The4thNorseMann,"Nashville, TN","if #GameDevPaidMe gamedevpaidme is trending can i get a #chefwages trending too? If you knew how much we worked and how little us chefs and especially my line cooks make over servers and bartenders, you'd be disgusted."
112,sarahqart,"Montréal, Québec",#GameDevPaidMe is really strange when you think the QA departments are treated like shit everywhere and paid badly.
113,jarsh_,,"Hey nerds, you’re all underpaid. That’s why you always use a recruiter because I can get you way more money than you can negotiate.  #GameDevPaidMe"
114,Slift,"Seattle, WA","Me: Asian masc in Seattle, 4-5 years in the indie scene prior to listed experience. no benefits for any of these jobs.
 #GameDevPaidMe 

'17 - '18: 15/hr : board game QA 
'18: 17.50/hr : digital indie community management 
'19 - present: : 20 -&gt; 25 -&gt; 30/hr board game designer"
115,NESbot_feed,IRC/discord,"#GameDevPaidME - People on twitter sharing how much they got paid for working in the Games Industry
https://t.co/doqCGvnATn"
116,englishscribe,"London, England","#GameDevPaidMe The WGGB have published guidelines to help people navigate narrative roles and potential payscales. A revised version is due out later this year, but the current ones can be found here - https://t.co/iVp8dEifuC #gamewriting #gamedevelopment"
117,Coyote8004,"Miami, FL",#GameDevPaidMe pay me to play your game.
118,OakThielbar,"Seattle, WA","#GameDevPaidMe

$70k/yr Unity programmer (med + equity)
$80k/yr Lead Unreal programmer (remote)

and for comparison, my non game dev jobs...

$80k/yr Junior Java dev (med + equity)
$120k/yr Senior Scala/React dev (med + crap equity)

all Seattle area (except remote)"
119,TinyLuri,,#GameDevPaidMe is reminding me that a game company in the Bay Area would have paid me roughly 30k less for a Senior Software Eng position than my salary was for a Junior Eng position at a regular Tech company.🙃
120,Solairis__,"Indiana, USA","#GameDevPaidMe Holy smokes, the people in Game Dev Tycoon get paid more xD"
121,HyperGriffin,The Area That Disappeared,#GameDevPaidMe Glad people are starting to talk about how game development doesnt make people enough money to feed themselves.
122,RainofTerra,"San Francisco, CA","Blizzard, UNIX Systems Engineer, Hourly
2016 (includes overtime from Overwatch launch): $195k
2017: $178k
Blizzard, Senior Systems Engineer, Salaried
2018: $181k

#GameDevPaidMe"
123,BannonRudis,"Los Angeles, CA","#GameDevPaidMe salary problems being shown are two fold.
1) Artists and animators aren't being paid enough.

2) Development with the new consoles are going to be more expensive. Consumers want bigger and better looking games and that's not cheap. Lowering the budget for salaries."
124,BrandenMid,"Cincinnati, OH","Perspective of skills needed for gamedev but working for marketing co.

2015-42-45k as an associate consultant aiding in gamified web applications

2016- 3k/month Director of Operations for a start-up

50k year and industrial marketing company as 3d artist unitydev
#GameDevPaidMe"
125,Crystalmaster42,The Void,"#GameDevPaidMe 
me and the other 3 devs of our project:
you guys got paid?"
126,sarienn,"Stockholm, Sweden","#GameDevPaidMe 
I have never been paid OT or benefits
09 Romania (Activision contractor) producer 4000RON (cca 1000 USD/month?!)
10 Italy game director EUR 1200-1500 /m
11-15 SWE lead producer SEK 25k ish?! - 27k 
16-18 SWE coach, PR etc SEK 39k
Now - SWE CEO - low bc strategy"
127,kouotsu,"Bothell, WA","#GameDevPaidMe

College job at mobile startup: $3/hr
Same job when I threatened to leave: $9/hr
Post college freelance: $20/hr (not enough work to make a living tho)
Wayforward 3D artist: $23/hr(?), no PTO
WF when they found out I was looking for other work: $55k full benefits"
128,Saul_crafter,"McAllen, TX",#Gamesforcash ... shoutout to all those videogame companies who ignore their community and RIP people off  with their monthly updates and broken game accessories...#GameDevPaidMe  #Trending  #EnoughIsEnough #cryteck
129,zoomba,"Dallas, TX","This is an interesting exercise and good to share generally...
2006 - 2009: Community Manager, QA, Technical Writer - $35k/yr
2009 - 2011: Technical Account Manager - $45k/yr
2011 - 2013: Operations Team Lead - $65k/yr
2013 - 2019: Producer/Team Lead - $71k/yr
#GameDevPaidMe"
130,MattMarie777,Florida,"#GameDevPaidMe is really showing how underpaid people are across the board in the industry and also reminded me that I have never been paid or legally allowed to talk about anything I’ve worked on as a VFX artist.

Pay your fucking workers and let them have the credit."
131,smartssa,"Toronto, Ontario","let's roll with #webdevpaidme - 
I'll start (cis male, all CAD, Toronto based)
2005 - $35/hr contract (big ad agency)
2006 - 56k/yr salary ("")
2010 - 70k (porn)
2011 - 70k (lookup service)
2011 - 70k (small agency)
2019 - 96k ("")

h/t #gamedevpaidme and #publishingpaidme"
132,FindMyNucleus,,"#GameDevPaidMe I know they aren't all great, but some of your are getting paid really well! Makes my wonder why I became a teacher."
133,skydevilpalm,LA/LV,"#GameDevPaidMe 

freelance/contract #pixelart in USD

&gt;1K - small commissions
3-20K - entire game, sometimes w/ revenue

Brothers
1 artist/animator/designer
1 creative director/designer
Mex. American 
No school/degrees
Network built entirely online starting 2015

You can do this! https://t.co/QJdi27BOCS"
134,ETaaban,,Shout out to everyone contributing to the #GameDevPaidMe trend
135,AG7x_,Riverdale to Atlanta,#GameDevPaidMe is peaking my interest on Twitter today https://t.co/XbURYlSsIE
136,theyallJUANit,,Damn...looking at that #gamedevpaidme  and I’m glad I didn’t get into game dev bc FUCK you guys are grossly underpaid
137,sleepybunny76,,Welp this hashtag gives me anxiety about my undergrad choices  #GameDevPaidMe
138,tsoguy,,#GameDevPaidMe just reminding me of how QA work killed my joy
139,TitanForgeTina,"Atlanta, GA","This tag is great, I'm learning so much!! Thank you all for being so transparent! #GameDevPaidMe"
140,outerspacien,"San Francisco, CA","Reading #GameDevPaidMe and it reaffirms my choice not to take certain jobs. Like, I made more as a restaurant server, like twice as much as some of these entry level positions. It’s untenable unless you can or choose to rely on others for financial support."
141,bugmeyer,Florida,"#GameDevPaidMe

Webfoot Games (artist) - 28K
CCP North America (concept artist) - 48K
Kabam (senior artist) - 98K
Kabam (Art lead) - 105K +bonuses"
