,user,location,text
28,KenAdamsNSA,"Los Angeles, CA","I wasn’t gonna do this, but I believe in wage transparency so:
#GameDevPaidMe
EA Assoc. PM - $60k (Sacramento)
KIXEYE PM - $115k (SF)
KIXEYE Lead PM - $145k (SF)
Daybreak Sr. PM - $115k (San Diego)
Riot PM - $145k (LA)
Riot PM III - $170k (LA)"
29,JakeRocket,"Bend, OR","After reading #GameDevPaidMe, it’s safe to say this Far Side comic was all lies. https://t.co/xbK9MkA6DF"
30,yumewarlock,"Asgard, The realm of gods","Me looking at #GameDevPaidMe
And noticing a trend of just really low pay considering the long hours required for gaming and cost of living in major cities :(

Especially in QA."
31,CryptikHavok,United States,"#GameDevPaidMe You get what you negotiate for. If you think that is low or the company should pay more, negotiate for it or look at what you do and ask yourself: What additional skills can I offer/learn? Companies are hungry for talent. Dont whine about what you're paid."
32,EmilyKnief,"Irvine, CA","#GameDevPaidMe 

From 2018 onward, I realized how underpaid I was compared with my contemporaries and now actively fight to be paid equally. Still today, I have quite a few coworkers with lesser responsibilities paid in excess of 100k. 

Pay people what their worth; don't settle. https://t.co/AcHJN1pfYG"
33,loresjoberg,"Seattle, Long Chile","Sweet bottle of bourbon, I'm looking at #GameDevPaidMe and I'm appalled at how little QA people make. I'd be ashamed to pay my QA freelancers anywhere near minimum wage. I mean, Jesus, they save my ass on the regular."
34,kohizeri,"Plano, TX","My contribution to #GameDevPaidMe

A former employer promoted me to Senior (w/management responsibility!) at only 62K, which was over 20K less than the previous (white male) coworker holding that role had made. 

And I only knew they were screwing me cause he told me his salary."
35,chinwe_ohanele,,"Another day for income transparency, this time in the video game industry. Check out #GameDevPaidMe to see what different people in different roles, geographic locations, and identities are being paid. Incredibly eye opening"
36,RicketyChaos,Pensacola Florida ,I'm raising money for RicketyChaos Studio's Read Story In Link  https://t.co/kQbenJrHLr via @gofundme #donate #AdamSandler @Retweet_Lobby @DynoRTs @Galaxy_Retweet #GameDevPaidMe  #gamers #GamersforBLM @weartv
37,shmaba,,"I did a #GameDevPaidMe earlier but after checking records some numbers were off. I worked at smaller studios so money got tight/weird sometimes and I overlapped a lot of jobs.

$1k/month Contract 3D Artist
$15-$25/hr Freelance
$2-$2.5k/month Generalist Artist, no benifits
cont..."
38,MiniWhiteRabbit,"Boston, Massachusetts","#GameDevPaidMe 

Well, this is... enlightening... and depressing for more reasons than one."
39,therobgiusti,SF Bay Area,"Here’s my #GameDevPaidMe:
2011: $2k stipend summer gig working for a graduate student on her research project
2013-2015: Unity engineer at LVL6. $60k-$72k
2015-2019: mid up to senior unity dev at Niantic Labs. $100k-$153k + stock + bonuses.
Now: “”Indie”” $0k"
40,_taylorswope,Port Foozle,"#gamedevpaidme
southern california

QA Tester: $15/hr -&gt; $16.25/hr
QA Lead: started at $40k salary, now hourly at $26.44/hr (~$55k)"
41,yantor3d, ,"#AnimationPaidMe #GameDevPaidMe #VFXPaidMe

Cishet white male, salaries in USD

2010-2011 Technical Artist Intern: $14/hr/N (DEN)
2011-2013 Technical Artist: $56k/F (DEN)
2013-2018 Rigger: $72k/F (DFW)
2018-Now Animation Pipeline TD: $105k/F (PDX)

N: No benefits
F: Full benefits"
42,Kurioms,"Irvine, CA",Recommend people doing #GameDevPaidMe fill out their info at somewhere like https://t.co/dqJ0NxtT2E
43,milkyawayart,"Oakland, CA","My #GameDevPaidMe’s a lil small but hey
- Industry Adjacent job doing content curation: $250/ day (Swedish company in NYC)
- Game Artist/ Generalist: $39k to $45k after 14 months (Miami, FL) +benefits
- Freelancing currently: $30/hr (Oakland, CA)"
44,astods,"Seattle, WA","cis white female 2D Artist

Colorado:
char designer @ Backflip $50k
Lead @ Backflip $80k
Senior @ DireWolf $70k

Seattle:
Senior (Lead responsibilities) @ CoCo $76k

I've learned that negotiating works, but they can always find another artist. #GameDevPaidMe https://t.co/xp3lxFMfkE"
45,PirateHearts,North Texas,"I believe in the importance of sharing salary information, but I understand it can be uncomfortable for all parties for a variety of reasons. I've chosen not to post my salary history publicly to #GameDevPaidMe, but my DMs are open, and I will share with anyone who asks."
46,evan_monteiro,"Los Angeles, CA","#GameDevPaidMe Riot Games
Splash Intern - 2013-2014 - $20/hr
Associate Splash Artist - 2015-2017 - $65-75k
Concept Artist - 2018 - $90k
-Here my POC manager alerted me I was being paid under my peers and working above my position-
Sr Concept Artist - 2019-2020 - $120-130k"
47,Syndarr,"Scotts Valley, CA","#GameDevPaidMe not nearly enough at any company I've ever worked QA at, either contract or permanent. 

Best pay rate I ever got was $25/hr, but that was as freelance QA and not a 40-hour week."
48,lightbombmike,Probably North of You,"#GameDevPaidMe #AnimationPaidMe 
Cis white male
Base annual salaries in usd

Animator
2006-47.5k Los Angeles
2007-55k Austin, TX
2008-70k Madison, WI
2010-75k Seattle

Senior Animator
2011-80k Hunt Valley, MD
2014-90k Champaign, Il"
49,MitchJMcClellan,Atlanta,"#GameDevPaidMe
Here's my info and gamedev history:
White, male, GA

$67,000 USD, AGS, Gameplay Developer"
50,Vekyo,"Austin, TX","#GameDevPaidMe 

*QA*
Crystal Dynamics, CA, 2012: $16.50 /hr, no benefits.
Blizzard, CA, 2013: $18 /hr + profit sharing.
Riot Games, CA, 2015: 62k /yr + stocks.
Bioware, TX, 2017: 72k /yr + bonus + stock.
Netease, China, 2019: 80k /yr + stock
Zynga, Austin, Crrnt: 70k /yr + stock"
51,Witdarkstar,"Issaquah, WA","Thread Ok #GameDevPaidMe I'm going to go into the world of contracting and my experience with it a few years ago, but first.

2012 LucasArts - $50k
Contract for Microsoft 84k 2013, 92k 2014
Currently very happy

Contract numbers are really important and probably seem high to many"
52,cyanparade,,#GameDevPaidMe my last paycheck is USD1170 per month (inclusive of employees provident funds) https://t.co/Ris4CuHHdH
53,McFunkypants,Canada,"#GameDevPaidMe 30 years freelancing here
clients incl msft, amazon, honeywell, harvard

best paid gig: $21k html game
funnest: $12k porting my games
easiest: $10k to test a game
best hourly rate: $128/hr
worst: $3/hr (milestone based)
book advance: $4k
book royalties: 16%"
54,proximity_sound,"Burlington, Ontario","I’d like to add to the #GameDevPaidMe discussion, but from a perspective of a Kickstarter dev (all in CAD$).

Funds Raised: $9313.00

KS Fees: $765.50
Shipping: $2275.00
Consumables: $188.62
Tools: $200
Licensing and Artists Fees: $3,099.29
Production: $2,571.67

Profit: $221.92"
55,AriBodaghee,"Mission Viejo, CA","#GameDevPaidMe 

The Lighthouse released 3 chapters in EA last year.  Here is what I made so far:

2019: $ 137.16 USD
2020: $ 228.49 USD https://t.co/VqX4t0533B"
56,Ophainim,"Los Angeles, CA","#GameDevPaidMe.

2014 - Blizzard Engine Intern: $30/hr.
2015 - Blizzard Assoc. Gameplay Programmer: $75k a year + bonus.
2017 - Blizzard Gameplay Programmer: 90-100k (yearly raises) with bonus.
2020 - Riot Gameplay Programmer: 175k + Bonuses."
57,damousey,"Cape Town, South Africa",Anyone else having a really adverse reaction to #GameDevPaidMe? As if not seeing my pay among even other's worst is crystallising the imposter syndrome and I think it's time to properly quit.
58,DanFoxAnimates,"Melbourne, Victoria","Far out - I'm reading this #GameDevPaidMe hash tag and I'm really wishing being disabled didn't severely limit my employment opportunities.

I'd be a lot better off if that weren't the case according to these stats... 

(All gamedev employers have been ace though!)"
59,__bzzybee,San Francisco,"#GameDevPaidMe 

23 yr old white woman based in SF, CA.

2018: Technical Art Intern - $25/hr
2018-2020: Jr. Environment Artist - $30/hr"
60,Tmac93x,"California, USA",When #GameDevPaidMe is trending but I'm just an unpaid indie dev at the moment.
61,DuckTapeAl,,"#GameDevPaidMe
White, cis male in MA.

2010: 10$/hr, Temp QA Tester
2011: 9.75/hr, Full-Time QA Tester
2012: 40k/yr, Full-Time Game Systems Designer
2014: 15$/hr, Temp QA Tester
2015: 53k/yr, Full-Time Game Systems Designer
2016: 15$/hr, Temp QA Tester/Game Systems Designer
(1/?)"
62,TipsyGeek,"Quebec, Canada","I didn't know this was happening but I want to share too: I believe in pay transparency. For reference, I'm a lesbian white cis woman.

3rd party video game QA:
Linguistic QA tester: Approx. $10/h
LQA Senior Tester: Approx. $11.20/h
LQA Test Lead: Approx. $12/h

#GameDevPaidMe &gt;"
63,_raortiz,𝐂𝐚𝐥𝐢𝐟𝐨𝐫𝐧𝐢𝐚,This hashtag #GameDevPaidMe is super insightful.
64,RobinKoman,,"@thirdguess Anyone notice that most of the people posting in #PublishingPaidMe and #GameDevPaidMe are women, POC, or queer? I need white, cis, men to admit how much more $$ they’re getting than the rest of us, so that bullshit can CHANGE."
65,RobinKoman,,"Anyone notice that most of the people posting in #PublishingPaidMe and #GameDevPaidMe are women, POC, or queer? I need white, cis, men to admit how much more $$ they’re getting than the rest of us, so that bullshit can CHANGE."
66,subliminalman,Abq. NM,"Here's my #GameDevPaidMe 

First game I made on XBLIG: $700 total

Freelance contract game: $5000 total

Ideum first fulltime job in an adjacent industry working on museum interactives $50k a year up to $58k a year w/ benefits.

Current job at Subliminal $48K a year no benefits."
67,zowch,"Seattle, WA","#gamedevpaidme

$32k - Tools Programmer, Sigil
$60k - SE 2, EA Mythic
$60k - Server Engineer, QOL
$95k - Tools Engineer 2, 38 Studios
$100k - Senior Tools Engineer, Turbine
$110-135k - Senior/Lead Tools Engineer, ArenaNet
$160k - SSE, Microsoft

(Base salaries over ~15 years.) https://t.co/GWt1DBlXQb"
68,benmercke,,"Maybe posting salaries while record numbers of Americans are out of work isn't the greatest thing we could be discussing right now but i dunno, I have been wrong before. #GameDevPaidMe"
69,GameDadMatt,"Perth, Western Australia.","Outside of one brief 6 month period, I've only ever been paid at an hourly rate in Game Dev, which started at (AUD) ~$25 and got to $40 per hour later, before tax.

In Australia you tend to sacrifice salary stability. Annual wages not on contract are very rare. #GameDevPaidMe"
70,CrystalSully,"Denver, CO",These #GameDevPaidMe and #PublishingPaidMe hashtags made me realize that I really need to raise my rates for 2020.
71,DanSyronArt,"Colorado, USA","#GameDevPaidMe haha just kidding honestly it paid garbo and I went 6 months no pay for a project headed by a professor who got out of paying because in the agreement we had to opt in as 'internship opportunity' instead.  

Honestly I remain under-confident in the industry"
72,joemag_games,"West Hollywood, CA","#GameDevPaidMe
33/m/cis white straight

Blizz - Irvine
Game Tester 2005: $9.75/hr
QA Analyst: 30k-55k + 3 bonuses (b)
Senior QA: 55k-65k + 3 b
Assoc. Game Designer: 65k + 3 b
(10% bonus lumped into salary)
Game Designer: 72k-80k + 2 b

Niantic - LA
Game Designer: 90K + 1 b"
73,numberless,"Oakland, CA","It can be hard to see one's own privilege when you're in the midst of it. That's no excuse, though. I'm grateful that #GameDevPaidMe is helping highlight these disparities, for both those inside and outside of the privilege bubble."
74,numberless,"Oakland, CA","My non-contract, full-time jobs all included benefits (medical, dental, vision), and stock options.

The #GameDevPaidMe hashtag has confirmed for me that I've been immensely privileged throughout my career, a fact which I didn't realize for a long time."
75,numberless,"Oakland, CA","#GameDevPaidMe, as a white, cisgender, male-presenting game designer living in San Francisco (in USD):

Zynga (contract), 2008: $25/hr
Zynga, 2008-2009: $50k-$80k/year
Playdom/Disney, 2009-2011: $100k/year 
PopCap/EA, 2011-2015: $125k/year
Freelancing, 2016-present: ~$100-$150/hr"
76,zhukee2,the internet,"Pretty interesting read so far. Lotsa low level people way underpaid, and higher ups being overpaid. Nothing new there. Though, I saw someone claim they couldn't live off of 125k a year. Maybe the problem is your money habits and not your pay? #GameDevPaidMe"
77,_qiuse,"中文/ENG OK!, they/them","I haven't seen an game dev engineering salaries in #GameDevPaidMe so I'm gonna share from a few of my friends who do have given me permission!! these are all for engineering interns for the summer.

amazon game studio: $8k/month
tencent: ~8kRMB/month
activision: $35/hr"
78,gamerfriendspod,"Brooklyn, NY",Big ups to everyone using #GameDevPaidMe to share their salaries. This will help in organizing for higher salaries industry-wide with the added bonus of illustrating just how badly this industry needs to unionize.
79,MeezyNaNa,"California, USA",If there's anything  #AnimationPaidMe and #GameDevPaidMe have taught me is that people in education aren't paid enough!
80,PVJ_Reviewer,"Kissimmee, FL",Seeing just how atrociously QA gets treated makes me want to quit buying AAA games altogether. #GameDevPaidMe
81,_hanayos,Inktopolis,looking at the #GameDevPaidMe tag is painful because i see all these people who were even paid during their internships and i'm https://t.co/uXUcDnYq4N
82,ninshubar,"Seattle, WA","#GameDevPaidMe

lead designer for battletech: $75k/year
after paradox acquisition: $80k/year"
83,_kev_dev,,"#GameDevPaidMe as an SDET. This is mostly contracting, so wages are lower than normal.

$30 / hr when contracting with Microsoft
$32 / hr when contracting with Oculus"
84,JonoftheShred,"Massachusetts, USA",What is this #GameDevPaidMe stuff? We've done it all on our own thus far. An actual budget would be amazing
85,GrinAnd_,"Victoria, British Columbia","#GameDevPaidMe white, cis, straight, male, age 30. Doesn’t include current role because of contract. Empower workers!

CS Agent: 12/hr
Senior CS Agent: 15/hr
Associate CS Lead: 43k
Player Engagement Manager: 65k
Senior PEM: 80k
Senior Manager of Customer Advocacy: 100k"
86,thetruthishurts,,"Sorry it’s a thread, but I dislike some of the thought behind #GameDevPaidMe especially in the current context 1/"
87,chickysprout,Chucken egg,"For transparency, here's what #GameDevPaidMe

Fulltime (Malaysian studio)
2003-2009: $470-$700/mth (at today's USD rate)

Freelance (remote work)
2010-2019: Contract - $3.2k-$4k/mth (no benefits)
2019-today (17 years xp): Contract - $5k/mth (no benefits)
Per hour: $30"
88,oss_ssy,,"#GameDevPaidMe 
So far 0$. Still trying to get Hired."
89,GameRant,Earth,Here's Why #GameDevPaidMe is Trending on Twitter - https://t.co/bjeK5BXMsd https://t.co/TGGKTcnaFt
90,DallasRLillie,,"#GameDevPaidMe 
2018 - Assoc. Engineer (contract) at Treyarch: $26.5/hr
2019 - Assoc. Tech Designer (FTE) at Treyarch: $29.5/hr
Living in LA, USA.
Really not sure how this compares to others in similar positions so I'm hoping this helps others looking for the same info."
91,RogelioD,"Santa Clara, CA","#GameDevPaidMe 
33 y/o cis male Hispanic POC. 7 years exp. All $ USD. All Env Artist.

Turbine - Assoc - 20/hr - Boston - 2013

Funcom - Jr - 35K - NC - 2014

Bungie -  Mid - 57K - Seattle - 2015

Monolith - Mid - 26/hr -  2016

Turn 10 - Sr. - 38/hr - 2017

ColdIron - N/A"
92,ClassicSchmidt_,"Seattle, WA","#GameDevPaidMe I specialize in recruitment in the gaming/esports industry and an advocate for Women in Gaming. If you have questions about compensation please feel free to reach out to me directly: erik@newlvlrecruiting.com 

https://t.co/uqMqySLAvu"
93,EnglishdudeFRSP,Los Angeles,"#GameDevPaidMe
‘15 QA contract at Naughty Dog - $10.50/h
‘16 $13/h
‘17 $15/h
‘17 (hired perm) $17/h + bonus + benefits
‘18 $18
‘19 $20
‘20 QA Test Analyst at Blizzard - $28 + bonus + benefits"
94,condyak,San Francisco Bay Area,"@mayenedesign I also worked at a creative agency with AAA clients. When I left, I made $54k as an Animation &amp; Motion Designer. I started there making less than I did making copies all day at a tax firm. #GameDevPaidMe"
95,Brian_Aiya,"Toronto, Ontario","Interesting tweets  #AnimationPaidMe  #GameDevPaidMe. Companies try to scare people on discussing their salaries. Most of the time it's not llegal to share. If anything, thats how you will find out that you are underpaid just because you didn't negotiate during the interview."
96,wuffles,"Burbank, CA",Also forgot the tag #GameDevPaidMe
97,Cammiluna,"Tacoma, WA","I'm sort of jealous of people with long resumes in the #GameDevPaidMe hashtag, but I dont think I'm ready for a second career change anytime soon."
98,Ropnolc,Yorup,"#GameDevPaidMe

In my first time working in Indie I was being paid a turbulent rate ranging from $250 to $700/month, primarily as a Scripter &amp; Artist.

I was also promised sales royalties, but nothing ever came of that."
99,TrakoZG,BlackLivesMatter,"I was a tester on several projects, such as Allegiance and M.A.X. 2, unpaid for all of them.

This was before the rise of public betas or early access betas.

#GameDevPaidMe"
100,Myrathi,"Scotland, UK","Good grief! I knew the industry was crazy (and by crazy I really mean in no small part unbalanced and unfair) but actually seeing, in writing, how disparate folks' situations are via #GameDevPaidMe is nuts! O_o"
101,NotBrunoAgain,São Paulo,#gamedevpaidme is a good idea but please note that people who have been underpaid (and especially people who have been driven out of the industry entirely) are less likely to share that information or be here to share it
102,Bigesta,,"#GameDevPaidMe
ArenaNet play balance tester 10/hr
Test Associate 1 microsoft 9.54
Test Associate 2 microsoft 10.40
Test Associate 3 Microsoft 11.20
Test Associate 3 Microsoft 10.90 took 30 cents from me and moved it to a more senior tester on another project. Bullshit"
103,JordanFehr,"Columbus, OH","#GameDevPaidMe as a freelance sound designer working on mostly indie games, I worked on *at least* 3 games a year, every year, from 2010-2018, made considerably less than everyone reporting their in-house salaries, and obviously had to pay for my own benefits and taxes."
104,CanTrick,"Okemos, MI",I made $12 that (I couldn’t touch) from the first Jumpguy and i’m gonna make millions with Jumpguy 2 #GameDevPaidMe
105,KalystC,"Menlo Park, CA","27, Woman, half 🇵🇭

#GameDevPaidMe
'14 17$/hr Mindlance (contract) QA
'15 12$/hr Sony Playstation (contract) QA
'16 14$/hr Perfect World Entertainment Senior QA
'18 ~17$/hr PWE Content Engagement Specialist (CM/APM blend role)
'18 ~45k/yr salary PWE Associate Product Manager

1/4"
106,beemo_bb,,"This really has me thinking ~on work related matters~ 

Currently I'm contemplating moving to an indie studio w/dream job OR staying at my dream studio working QA trying to work up to my dream job.

#GameDevPaidMe"
107,asobulab,"San Diego, CA","oh and by the way #GameDevPaidMe 

$9/hr on an institutional educational game, part-time. 

and that's it. I don't make games professionally anymore."
108,RoSzomak,Brno,"So far 12 - 15k USD take home per year, but thanks to Europe having standards additionally health &amp; social insurance and 25 days of vacation. Design, white, cis, central europe, free studio #GameDevPaidMe"
109,BLOODY_FATALITY,Spiral Mountain,#GameDevPaidMe is somewhat trending. I usually don't post about trends but I just wanted to say that I am very jealous. Please pay me to play your games. Thanks. 👀
110,SquirrelledMaz,Oak Tree Near You,"#GameDevPaidMe
White female. Pre tax GBP. ~15years experience when I left last year.
2005 Customer support ~£12k + shift uplift
2006 Content dev ~£20k
2009 Senior content dev ~£26-30k
2013? Lead content dev ~£34k
2015-19 Training and developer lead ~£37-42k"
111,chlolist,san fernando valley,"for transparency's sake, i am a cis white woman game designer who also codes sometimes, my rate has been $25-30/hr since i graduated college (depending on project/responsibilities). i have shipped a handful of games but never been offered a full time/salaried role! #GameDevPaidMe"
112,tsukiyo_fur,Follow the clapping cheeks,"#GameDevPaidMe 
This transparency is good for marginalized groups to see if they're being mistreated

White Female MtF

Industry
2009-2013 Design/Animation $55k Salary
2013-2014 Project Director $200k Royalty
2019-2020 Animation $70k Salary

Indie
2006-2020 Marketing $10k Total"
113,Tycerax,"Toronto, Ontario","#GameDevPaidMe

I was a freelance translator for two different European companies and I'd get 0.06€/word.

For indie projects, I'd offer 100€ per project."
114,GabeHoffman3,,Reading these #GameDevPaidMe comments isnt too surprising really since if you are familiar with AAA game development you will know the majority if profits from sales go to the publisher rather than the developer.
115,mayenedesign,"San Francisco, CA","Seeing all the #GameDevPaidMe posts.

I still think it's funny that I got $56k as a Sr. Designer by a creative agency whose clients were AAA companies (Sony, EA, Square Enix, Nintendo, etc.) &amp; they were mad I'd go on to leave them for a contract at PlayStation that paid me $80k+. https://t.co/FPBcZ44UAd"
116,javieraltman,"Santiago, Chile","#GameDevPaidMe 

1) Less than 3k/y, 1 year, Lead Animator (Chile)
2) Around 11k/y, 4 years, Animator (Chile)
3) Around 16k/y, 6 months to present, Lead Animator and Tech Animator (Chile)

I'd kill for an opportunity to earn the numbers I am reading elsewhere from my peers."
117,npcSara,Ishgard,"Eh, fuck it. I hope this helps other folks in the industry. #GameDevPaidMe 💰 
🙋🏻‍♀️ About me: Persian/cis f/26
&gt; Blizzard Internship - $16.75/hr
&gt; Blizzard Associate PM - $59K
&gt; Blizzard PM - $74K
&gt; Riot PM - $134K
&gt; Riot PM II - $163K"
118,DMZilla,"Los Angeles, CA",What I learned from the #GameDevPaidMe tag today is that a large number of studios underpay. Good lord.
119,MegaMasao,Montreal,"#GameDevPaidMe
Ubi SF (USD)
Localization specialist $14/h 2006
Ubi MTL (CAD)
License coordinator $26k to 50k 2006~ 2009
Lead community developer $55k to 70k 2010~2014
Production manager $70k to 80k 2015~2019
Bonus range of $2k to $5K most years with a couple years 20k~35k"
120,tdcpresents,"Bellevue, WA","*Updated because I suck at remembering things! #GameDevPaidMe:

Associate Designer, Venan: $35K
Designer, Venan: $38K
Designer, Hitpoint: $55K
Senior Designer, Venan: $55K
Writer/ND, ANet: $80-85K
Senior Writer/ND, ANet: $100K"
121,chlolist,san fernando valley,looking at #GameDevPaidMe tag.. damn y’all have SALARIES?? with BENEFITS?????
122,TedAjax,"Redmond, WA","#GameDevPaidMe Cis, straight, white, male, all USD, mostly SF, now WA

2012 Software Engineer (SE) - $80k
2013 SE - $85k-100k (raise)
2014 SE - $110k
2014 SE - $115k (weird year)
2015 Gameplay Eng- $145k
2016 Sr. SE - $136k
2017 Sr. Gameplay - $130k
2019 SDE2 - $135k + bonus"
123,mrNY2cali,streamerlinks.com/mrny2cali,"Since it's trending &amp; I was technically part of the Game Industry for a few years. 

#GameDevPaidMe
2003 Los Angeles - $13/hr w/ benefits - QA Analytist I - Vivendi Games (under Universal Studios)"
124,tycopes_,"Edmonton, AB","#GameDevPaidMe 

PolyHobby Studios CEO/Developer, 2015-now: $0"
125,FoxSkullAltar,Opinions are my own!,"#GameDevPaidMe $18/hr when I started as an animator. I was promoted to $25/hr to when I was made Art Manager. Never been salaried. No comment on it- I’ll leave that to twitter. Just know, I love working at my company."
